Name,Right Ascension,Declination,Apparent Magnitude,Constellation
IW Carinae,09h 26m 53.30s,-63° 37′ 48.9″,7.9,Carina
HD 65216,07h 53m 41.3s,-63° 38′ 50.4″,7.98,Carina
HD 97152,11h 10m 04.08s,-60° 58′ 45.0″,8.07,Carina
HD 63765,07h 47m 49.72s,-54° 15′ 50.9″,8.1,Carina
Y Carinae,10h 33m 10.85s,-58° 29′ 55.1″,8.16,Carina
HD 51608,06h 54m 51s,-55° 15′ 34″,8.17,Carina
YZ Carinae,10h 28m 16.85s,-59° 21′ 00.7″,8.24,Carina
WR 16,09h 54m 52.90s,-57° 43′ 38.3″,8.32,Carina
EM Carinae,11h 12m 04.51s,-61° 05′ 42.9″,8.52,Carina
RT Carinae,10h 44m 47.15s,-59° 24′ 48.1″,8.55,Carina
HD 85567,09h 50m 28.54s,-60° 58′ 03.0″,8.57,Carina
UX Carinae,10h 29m 11.24s,-57° 36′ 48.3″,8.62,Carina
XZ Carinae,11h 04m 13.47s,-60° 58′ 47.7″,8.67,Carina
GG Carinae,10h 55m 58.92s,-60° 23′ 33.4″,8.7,Carina
V403 Carinae,10h 35m 40.67s,-58° 12′ 44.6″,8.74,Carina
Tr 16-104,10h 44m 47.31s,-59° 43′ 53.2″,8.75,Carina
V348 Carinae,10h 29m 59.00s,-57° 40′ 32.8″,8.78,Carina
WR 25,10h 44m 10.34s,-59° 43′ 11.4″,8.8,Carina
HD 60435,07h 30m 56.99s,-57° 59′ 28.2″,8.89,Carina
WR 23,10h 41m 38.32s,-58° 46′ 18.7″,9.03,Carina
HD 92024,10h 36m 08.31s,-58° 13′ 04.77″,9.04,Carina
GH Carinae,11h 10m 44.59s,-60° 45′ 01.0″,9.2,Carina
WZ Carinae,10h 55m 18.73s,-60° 56′ 24.0″,9.37,Carina
CPD -59° 2635,10h 45m 12.72s,-59° 44′ 46.2″,9.43,Carina
V392 Carinae,07h 58m 10.47s,-60° 51′ 57.5″,9.49,Carina
XY Carinae,11h 02m 16.07s,-64° 15′ 46.5″,9.49,Carina
HD 87643,10h 04m 30.29s,-58° 39′ 52.1″,9.5,Carina
CPD -59 2628,10h 45m 08.23s,-59° 40′ 49.5″,9.52,Carina
HD 90657,10h 26m 31.41s,-58° 38′ 26.2″,9.69,Carina
GL Carinae,11h 14m 39.84s,-60° 39′ 36.3″,9.7,Carina
DW Carinae,10h 43m 10.07s,-60° 02′ 11.7″,9.85,Carina
SS73 17,10h 11m 02.95s,-57° 48′ 13.9″,9.99,Carina
CPD -57 2874,10h 15m 21.97s,-57° 51′ 42.7″,10.16,Carina
GZ Carinae,10h 20m 20.37s,-59° 22′ 35.8″,10.2,Carina
HH Carinae,10h 53m 36.47s,-59° 27′ 18.2″,10.31,Carina
EY Carinae,10h 42m 23.03s,-61° 09′ 57.3″,10.35,Carina
HD 307938,10h 42m 41.52s,-64° 21′ 04.4″,10.57,Carina
WR 18,10h 17m 02.27s,-57° 54′ 47.9″,10.6,Carina
HD 94546,10h 53m 44.82s,-59° 30′ 46.7″,10.7,Carina
He 3-519,10h 53m 59.59s,-60° 26′ 44.3″,10.85,Carina
NGC 3603-A1,11h 15m 07.31s,-61° 15′ 38.4″,11.12,Carina
CR Carinae,10h 32m 54.07s,-58° 31′ 15.5″,11.3,Carina
NGC 3603-B,11h 15m 07.41s,-61° 15′ 38.6″,11.33,Carina
Innes' star,11h 16m 00.21s,-57° 32′ 51.6″,11.52,Carina
QU Carinae,11h 05m 42.49s,-68° 37′ 58.2″,11.54,Carina
WR 30,10h 51m 06.01s,-62° 17′ 01.7″,11.73,Carina
WRA 751,11h 08m 40.06s,-60° 42′ 51.7″,11.79,Carina
NGC 3603-C,11h 15m 07.59s,-61° 15′ 18.0″,11.89,Carina
FO 15,10h 45m 36.32s,-59° 48′ 23.2″,12.09,Carina
Sher 25,11h 15m 07.8s,-61° 15′ 17″,12.27,Carina
WR 30a,10h 51m 38.93s,-60° 56′ 35.2″,12.73,Carina
He 2-38,09h 54m 43.29s,-57° 18′ 52.4″,12.92,Carina
BPM 6502,10h 44m 10.23s,-69° 18′ 18.0″,13.09,Carina
WR 20a,10h 23m 58.00s,-57° 45′ 49.0″,13.5,Carina
LHS 288,10h 44m 21.32s,-61° 12′ 38.4″,13.92,Carina
OGLE-TR-113,10h 52m 24.4s,-61° 26′ 48.5″,14.42,Carina
2S 0921-630,09h 22m 35.20s,-63° 17′ 38.5″,15.3,Carina
OGLE-TR-123,11h 06m 51.1s,-61° 11′ 10.5″,15.47,Carina
OGLE-TR-111,10h 53m 17.9s,-61° 24′ 20.3″,15.55,Carina
OGLE-TR-132,10h 50m 34.7s,-61° 57′ 25.9″,15.72,Carina
OY Carinae,10h 06m 22.07s,-70° 14′ 04.6″,16.2,Carina
OGLE-TR-182,11h 09m 18.73s,-61° 05′ 42.93″,16.84,Carina
Gamma Cassiopeiae,00h 56m 42.50s,+60° 43′ 00.3″,2.15,Cassiopeia
Alpha Cassiopeiae,00h 40m 30.39s,+56° 32′ 14.7″,2.24,Cassiopeia
Beta Cassiopeiae,00h 09m 10.09s,+59° 09′ 00.8″,2.28,Cassiopeia
Delta Cassiopeiae,01h 25m 48.60s,+60° 14′ 07.5″,2.68,Cassiopeia
Epsilon Cassiopeiae,01h 54m 23.68s,+63° 40′ 12.5″,3.35,Cassiopeia
Eta Cassiopeiae,00h 49m 05.10s,+57° 48′ 59.6″,3.46,Cassiopeia
Zeta Cassiopeiae,00h 36m 58.27s,+53° 53′ 49.0″,3.69,Cassiopeia
50 Cassiopeiae,02h 03m 26.19s,+72° 25′ 16.5″,3.95,Cassiopeia
Kappa Cassiopeiae,00h 32m 59.99s,+62° 55′ 54.4″,4.17,Cassiopeia
Theta Cassiopeiae,01h 11m 05.93s,+55° 08′ 59.8″,4.34,Cassiopeia
Iota Cassiopeiae,02h 29m 03.99s,+67° 24′ 08.6″,4.46,Cassiopeia
Omicron Cassiopeiae,00h 44m 43.50s,+48° 17′ 03.8″,4.48,Cassiopeia
48 Cassiopeiae,02h 01m 57.55s,+70° 54′ 25.4″,4.49,Cassiopeia
Rho Cassiopeiae,23h 54m 23.04s,+57° 29′ 57.8″,4.51,Cassiopeia
Upsilon2 Cassiopeiae,00h 56m 40.01s,+59° 10′ 52.2″,4.62,Cassiopeia
Chi Cassiopeiae,01h 33m 55.93s,+59° 13′ 55.5″,4.68,Cassiopeia
Psi Cassiopeiae,01h 25m 55.90s,+68° 07′ 47.8″,4.72,Cassiopeia
Lambda Cassiopeiae,00h 31m 46.32s,+54° 31′ 20.4″,4.74,Cassiopeia
Xi Cassiopeiae,00h 42m 03.88s,+50° 30′ 45.1″,4.8,Cassiopeia
HR 244,00h 53m 04.28s,+61° 07′ 24.8″,4.8,Cassiopeia
R Cassiopeiae,23h 58m 24.80s,+51° 23′ 19.0″,4.8,Cassiopeia
Upsilon1 Cassiopeiae,00h 55m 00.19s,+58° 58′ 22.1″,4.83,Cassiopeia
1 Cassiopeiae,23h 06m 36.81s,+59° 25′ 11.2″,4.84,Cassiopeia
HD 19275,03h 11m 56.24s,+74° 23′ 37.9″,4.85,Cassiopeia
Tau Cassiopeiae,23h 47m 03.39s,+58° 39′ 06.7″,4.88,Cassiopeia
Sigma Cassiopeiae,23h 59m 00.53s,+55° 45′ 17.8″,4.88,Cassiopeia
AR Cassiopeiae,23h 30m 01.92s,+58° 32′ 56.1″,4.89,Cassiopeia
Nu Cassiopeiae,00h 48m 49.99s,+50° 58′ 05.5″,4.9,Cassiopeia
Pi Cassiopeiae,00h 43m 28.09s,+47° 01′ 28.7″,4.95,Cassiopeia
Phi Cassiopeiae,01h 20m 04.92s,+58° 13′ 53.8″,4.95,Cassiopeia
4 Cassiopeiae,23h 24m 50.25s,+62° 16′ 58.2″,4.96,Cassiopeia
Omega Cassiopeiae,01h 56m 00.00s,+68° 41′ 07.0″,4.97,Cassiopeia
HD 3240,00h 36m 08.29s,+54° 10′ 06.4″,5.08,Cassiopeia
V509 Cassiopeiae,23h 00m 05.10s,+56° 56′ 43.4″,5.1,Cassiopeia
Mu Cassiopeiae,01h 08m 12.92s,+54° 55′ 27.2″,5.17,Cassiopeia
HD 15920,02h 38m 02.09s,+72° 49′ 05.6″,5.17,Cassiopeia
42 Cassiopeiae,01h 42m 55.73s,+70° 37′ 21.2″,5.18,Cassiopeia
49 Cassiopeiae,02h 05m 31.58s,+76° 06′ 54.4″,5.22,Cassiopeia
47 Cassiopeiae,02h 05m 07.05s,+77° 16′ 53.2″,5.27,Cassiopeia
40 Cassiopeiae,01h 38m 30.94s,+73° 02′ 24.3″,5.28,Cassiopeia
HD 11946,01h 59m 37.99s,+64° 37′ 17.9″,5.29,Cassiopeia
31 Cassiopeiae,01h 10m 39.27s,+68° 46′ 43.3″,5.32,Cassiopeia
HD 4775,00h 50m 43.57s,+64° 14′ 51.3″,5.35,Cassiopeia
12 Cassiopeiae,00h 24m 47.49s,+61° 49′ 51.8″,5.38,Cassiopeia
HD 4222,00h 45m 17.20s,+55° 13′ 17.1″,5.41,Cassiopeia
23 Cassiopeiae,00h 47m 46.02s,+74° 50′ 51.3″,5.42,Cassiopeia
6 Cassiopeiae,23h 48m 50.17s,+62° 12′ 52.3″,5.43,Cassiopeia
HD 3474,00h 39m 09.89s,+49° 21′ 16.5″,5.45,Cassiopeia
HD 9900,01h 38m 07.56s,+57° 58′ 39.5″,5.55,Cassiopeia
HD 223173,23h 47m 01.91s,+57° 27′ 05.0″,5.55,Cassiopeia
HD 5408,00h 56m 46.94s,+60° 21′ 46.3″,5.56,Cassiopeia
HD 6960,01h 11m 25.52s,+64° 12′ 09.8″,5.56,Cassiopeia
HD 220369,23h 22m 32.52s,+60° 08′ 00.6″,5.56,Cassiopeia
10 Cassiopeiae,00h 06m 26.53s,+64° 11′ 46.2″,5.57,Cassiopeia
32 Cassiopeiae,01h 11m 41.37s,+65° 01′ 08.0″,5.57,Cassiopeia
43 Cassiopeiae,01h 42m 20.44s,+68° 02′ 35.0″,5.57,Cassiopeia
HR 8832,23h 13m 14.74s,+57° 10′ 03.5″,5.57,Cassiopeia
HR 9059,23h 57m 08.49s,+55° 42′ 20.6″,5.57,Cassiopeia
HD 224893,00h 01m 37.02s,+61° 13′ 22.1″,5.58,Cassiopeia
HD 1976,00h 24m 15.64s,+52° 01′ 11.7″,5.58,Cassiopeia
HD 219623,23h 16m 42.19s,+53° 12′ 50.6″,5.58,Cassiopeia
HD 2774,00h 31m 41.21s,+52° 50′ 22.4″,5.59,Cassiopeia
53 Cassiopeiae,02h 03m 00.19s,+64° 23′ 24.1″,5.59,Cassiopeia
HD 17948,02h 55m 56.74s,+61° 31′ 15.8″,5.59,Cassiopeia
HR 511,01h 47m 44.06s,+63° 51′ 11.2″,5.63,Cassiopeia
YZ Cas,00h 45m 39.11s,+74° 59′ 17.3″,5.64,Cassiopeia
68 Cassiopeiae,00h 44m 26.23s,+47° 51′ 50.3″,5.66,Cassiopeia
2 Cassiopeiae,23h 09m 44.14s,+59° 19′ 57.7″,5.68,Cassiopeia
HD 9352,01h 33m 25.71s,+58° 19′ 38.4″,5.69,Cassiopeia
HD 2054,00h 25m 06.39s,+53° 02′ 48.4″,5.72,Cassiopeia
HD 1239,00h 16m 57.05s,+61° 31′ 59.5″,5.74,Cassiopeia
HD 6676,01h 08m 33.45s,+58° 15′ 48.5″,5.77,Cassiopeia
HD 3283,00h 36m 27.34s,+60° 19′ 34.4″,5.78,Cassiopeia
44 Cassiopeiae,01h 43m 19.74s,+60° 33′ 04.9″,5.78,Cassiopeia
HD 225289,00h 05m 06.13s,+61° 18′ 50.3″,5.8,Cassiopeia
HD 16024,02h 37m 36.01s,+65° 44′ 43.3″,5.8,Cassiopeia
38 Cassiopeiae,01h 31m 13.52s,+70° 15′ 53.2″,5.82,Cassiopeia
HD 3856,00h 42m 03.44s,+66° 08′ 51.4″,5.83,Cassiopeia
HR 297,01h 04m 19.55s,+61° 34′ 48.9″,5.83,Cassiopeia
HD 1279,00h 17m 09.04s,+47° 56′ 50.7″,5.86,Cassiopeia
HD 4440,00h 48m 08.88s,+72° 40′ 28.0″,5.86,Cassiopeia
HD 225009,00h 02m 36.08s,+66° 05′ 56.3″,5.87,Cassiopeia
V762 Cassiopeiae,01h 16m 11.90s,+71° 44′ 37.8″,5.87,Cassiopeia
HD 19065,03h 07m 19.02s,+64° 03′ 27.4″,5.89,Cassiopeia
9 Cassiopeiae,00h 04m 13.66s,+62° 17′ 15.6″,5.9,Cassiopeia
HD 6130,01h 03m 37.01s,+61° 04′ 29.4″,5.92,Cassiopeia
HD 2952,00h 33m 10.32s,+54° 53′ 42.3″,5.93,Cassiopeia
HD 2626,00h 30m 19.91s,+59° 58′ 39.2″,5.94,Cassiopeia
SU Cassiopeiae,02h 51m 58.75s,+68° 53′ 18.7″,5.94,Cassiopeia
HD 16769,02h 44m 49.67s,+67° 49′ 29.0″,5.95,Cassiopeia
HD 5550,00h 58m 31.00s,+66° 21′ 06.6″,5.97,Cassiopeia
HR 5,00h 06m 15.54s,+58° 26′ 12.1″,5.98,Cassiopeia
HD 6211,01h 04m 02.39s,+52° 30′ 08.3″,5.99,Cassiopeia
52 Cassiopeiae,02h 02m 52.49s,+64° 54′ 05.4″,6.0,Cassiopeia
HD 11857,01h 58m 33.22s,+61° 41′ 52.1″,6.02,Cassiopeia
V373 Cassiopeiae,23h 55m 33.84s,+57° 24′ 43.8″,6.03,Cassiopeia
HD 4817,00h 51m 16.39s,+61° 48′ 19.8″,6.04,Cassiopeia
55 Cassiopeiae,02h 14m 29.10s,+66° 31′ 28.0″,6.05,Cassiopeia
AO Cassiopeiae,00h 17m 43.07s,+51° 25′ 59.1″,6.11,Cassiopeia
HD 12173,02h 03m 10.51s,+73° 51′ 02.0″,6.12,Cassiopeia
HD 9030,01h 30m 52.01s,+66° 05′ 53.2″,6.15,Cassiopeia
HD 17958,02h 56m 24.66s,+64° 19′ 56.8″,6.17,Cassiopeia
HD 224784,00h 00m 30.98s,+59° 33′ 35.1″,6.18,Cassiopeia
HD 2589,00h 30m 54.20s,+77° 01′ 10.2″,6.18,Cassiopeia
13 Cassiopeiae,00h 31m 25.20s,+66° 31′ 10.7″,6.18,Cassiopeia
HD 3924,00h 42m 31.01s,+58° 45′ 12.4″,6.18,Cassiopeia
V773 Cassiopeiae,01h 44m 17.91s,+57° 32′ 12.0″,6.18,Cassiopeia
HD 5343,00h 56m 12.93s,+57° 59′ 47.7″,6.2,Cassiopeia
HD 224870,00h 01m 19.24s,+49° 58′ 53.7″,6.22,Cassiopeia
HD 4881,00h 51m 33.79s,+51° 34′ 17.2″,6.22,Cassiopeia
HD 225094,00h 03m 25.72s,+63° 38′ 25.9″,6.24,Cassiopeia
HD 217673,23h 01m 30.72s,+57° 06′ 19.7″,6.24,Cassiopeia
HD 222618,23h 41m 54.56s,+57° 15′ 35.9″,6.24,Cassiopeia
HD 10587,01h 44m 46.15s,+57° 05′ 21.2″,6.25,Cassiopeia
HD 13222,02h 13m 21.05s,+74° 01′ 40.1″,6.25,Cassiopeia
HD 21970,03h 39m 25.10s,+75° 44′ 22.6″,6.25,Cassiopeia
RZ Cassiopeiae,02h 48m 55.51s,+69° 38′ 03.1″,6.26,Cassiopeia
HD 222570,23h 41m 26.80s,+49° 30′ 44.9″,6.26,Cassiopeia
HD 5128,00h 53m 47.53s,+52° 41′ 21.6″,6.27,Cassiopeia
HD 5273,00h 55m 05.22s,+48° 40′ 42.8″,6.28,Cassiopeia
HD 6540,01h 07m 09.44s,+53° 29′ 53.5″,6.31,Cassiopeia
HD 7732,01h 20m 19.45s,+77° 34′ 13.7″,6.31,Cassiopeia
35 Cassiopeiae,01h 21m 05.19s,+64° 39′ 29.5″,6.33,Cassiopeia
HD 10362,01h 42m 58.32s,+61° 25′ 15.9″,6.33,Cassiopeia
HD 223386,23h 48m 53.91s,+59° 58′ 44.2″,6.33,Cassiopeia
HD 8424,01h 25m 46.30s,+70° 58′ 47.7″,6.34,Cassiopeia
HD 10293,01h 42m 17.69s,+58° 37′ 39.9″,6.35,Cassiopeia
HD 8272,01h 23m 21.27s,+58° 08′ 35.6″,6.36,Cassiopeia
HD 223421,23h 49m 11.89s,+58° 57′ 47.6″,6.36,Cassiopeia
HD 7925,01h 21m 58.94s,+76° 14′ 20.0″,6.37,Cassiopeia
V805 Cassiopeiae,03h 30m 19.39s,+71° 51′ 50.0″,6.37,Cassiopeia
HD 4818,00h 50m 57.27s,+51° 30′ 28.9″,6.38,Cassiopeia
HD 4295,00h 46m 38.23s,+69° 19′ 31.3″,6.39,Cassiopeia
HD 5357,00h 56m 54.99s,+68° 46′ 32.7″,6.39,Cassiopeia
V465 Cassiopeiae,01h 18m 13.89s,+57° 48′ 11.4″,6.39,Cassiopeia
HD 220074,23h 20m 14.37s,+61° 58′ 12.5″,6.39,Cassiopeia
HD 5715,01h 00m 30.87s,+70° 58′ 58.8″,6.4,Cassiopeia
V761 Cassiopeiae,01h 13m 09.82s,+61° 42′ 22.3″,6.4,Cassiopeia
HD 222682,23h 42m 31.41s,+61° 40′ 45.8″,6.4,Cassiopeia
HD 371,00h 08m 32.87s,+63° 12′ 14.6″,6.41,Cassiopeia
HD 2904,00h 33m 19.20s,+70° 58′ 54.7″,6.41,Cassiopeia
HD 4362,00h 46m 42.47s,+59° 34′ 28.3″,6.41,Cassiopeia
HD 6497,01h 07m 00.07s,+56° 56′ 06.9″,6.41,Cassiopeia
HD 218440,23h 07m 10.45s,+59° 43′ 38.6″,6.41,Cassiopeia
HD 220130,23h 20m 34.54s,+62° 12′ 47.8″,6.41,Cassiopeia
HR 9017,23h 48m 39.03s,+64° 52′ 35.3″,6.41,Cassiopeia
HD 1142,00h 15m 54.87s,+61° 00′ 00.7″,6.43,Cassiopeia
HD 217944,23h 03m 21.33s,+58° 33′ 50.0″,6.43,Cassiopeia
HD 5459,00h 57m 19.53s,+61° 25′ 19.0″,6.44,Cassiopeia
HD 222748,23h 43m 05.03s,+51° 56′ 21.6″,6.44,Cassiopeia
HD 1601,00h 20m 30.92s,+48° 58′ 07.1″,6.46,Cassiopeia
HD 17581,02h 51m 45.92s,+58° 18′ 51.5″,6.46,Cassiopeia
HD 222932,23h 44m 48.37s,+55° 47′ 58.9″,6.46,Cassiopeia
16 Cassiopeiae,00h 34m 24.89s,+66° 45′ 01.3″,6.47,Cassiopeia
V801 Cassiopeiae,03h 08m 54.18s,+62° 23′ 04.5″,6.47,Cassiopeia
HD 223552,23h 50m 22.12s,+51° 37′ 18.1″,6.47,Cassiopeia
HD 224404,23h 57m 33.52s,+60° 01′ 25.0″,6.47,Cassiopeia
HD 5927,01h 01m 27.04s,+49° 32′ 39.2″,6.48,Cassiopeia
HD 6028,01h 02m 18.47s,+51° 02′ 05.9″,6.48,Cassiopeia
HD 9811,01h 37m 47.20s,+64° 44′ 21.7″,6.49,Cassiopeia
HR 8770,23h 02m 43.80s,+55° 14′ 11.0″,6.5,Cassiopeia
HD 19439,03h 11m 00.80s,+64° 53′ 46.7″,6.5,Cassiopeia
V649 Cassiopeiae,23h 16m 27.05s,+61° 57′ 46.6″,6.53,Cassiopeia
54 Cassiopeiae,02h 09m 07.69s,+71° 33′ 09.3″,6.57,Cassiopeia
V784 Cassiopeiae,02h 10m 25.5s,+59° 58′ 47.3″,6.64,Cassiopeia
HD 11755,01h 58m 50.0s,+73° 09′ 09″,6.87,Cassiopeia
TU Cassiopeiae,00h 26m 19.45s,+51° 16′ 49.3″,6.88,Cassiopeia
HD 223960,23h 53m 49.98s,+60° 51′ 12.2″,6.9,Cassiopeia
V Cassiopeiae,23h 11m 40.72s,+59° 41′ 59.0″,6.9,Cassiopeia
HD 14817,02h 25m 40.11s,+61° 32′ 58.8″,7.02,Cassiopeia
HD 17505,02h 51m 07.98s,+60° 25′ 03.9″,7.08,Cassiopeia
CC Cassiopeiae,03h 14m 05.33s,+59° 33′ 48.5″,7.08,Cassiopeia
HD 698,00h 11m 37.15s,+58° 12′ 42.6″,7.08,Cassiopeia
V636 Cassiopeiae,01h 32m 43.23s,+63° 35′ 37.7″,7.19,Cassiopeia
HD 7924,01h 21m 59.12s,+76° 42′ 37.0″,7.19,Cassiopeia
TV Cassiopeiae,00h 19m 18.74s,+59° 08′ 20.6″,7.22,Cassiopeia
HD 108,00h 06m 03.39s,+63° 40′ 46.8″,7.4,Cassiopeia
HD 221585,23h 32m 54.0s,+63° 09′ 20″,7.47,Cassiopeia
HD 13908,02h 18m 15.0s,+65° 35′ 40″,7.51,Cassiopeia
Gliese 83.3,02h 01m 59.06s,+61° 54′ 18.2″,7.52,Cassiopeia
HD 221468,23h 32m 47.65s,+57° 54′ 20.1″,7.55,Cassiopeia
HD 19557,03h 11m 25.33s,+57° 54′ 11.2″,7.57,Cassiopeia
V487 Cassiopeiae,01h 06m 59.74s,+63° 46′ 23.4″,7.6,Cassiopeia
HD 16429,02h 40m 44.94s,+61° 16′ 56.1″,7.65,Cassiopeia
WZ Cassiopeiae,00h 01m 15.85s,+60° 21′ 19.0″,7.7,Cassiopeia
HD 12288,02h 03m 30.51s,+69° 34′ 56.4″,7.74,Cassiopeia
HD 15558,02h 32m 42.54s,+61° 27′ 21.6″,7.87,Cassiopeia
HD 220842,23h 26m 37.0s,+56° 53′ 12″,7.99,Cassiopeia
HD 15570,02h 32m 49.42s,+61° 22′ 42.1″,8.11,Cassiopeia
V745 Cassiopeiae,00h 22m 53.32s,+62° 14′ 29.1″,8.11,Cassiopeia
HD 220147,23h 20m 48.92s,+62° 24′ 45.2″,8.12,Cassiopeia
HD 17156,02h 49m 44.49s,+71° 45′ 11.6″,8.17,Cassiopeia
HD 240237,23h 15m 42.22s,+58° 02′ 35.7″,8.17,Cassiopeia
HD 17520,02h 51m 14.46s,+60° 23′ 09.8″,8.24,Cassiopeia
V641 Cassiopeiae,00h 09m 26.34s,+63° 57′ 14.1″,8.3,Cassiopeia
V368 Cassiopeiae,03h 12m 35.54s,+59° 55′ 10.9″,8.32,Cassiopeia
HD 240210,23h 10m 29.23s,+57° 01′ 46.0″,8.33,Cassiopeia
TW Cassiopeiae,02h 45m 54.82s,+65° 43′ 35.1″,8.38,Cassiopeia
HD 15629,02h 33m 20.59s,+61° 31′ 18.2″,8.42,Cassiopeia
HD 5797,01h 00m 33.43s,+60° 26′ 40.9″,8.47,Cassiopeia
DO Cassiopeiae,02h 41m 24.16s,+60° 33′ 11.8″,8.54,Cassiopeia
RW Cassiopeiae,01h 37m 14.02s,+57° 45′ 33.2″,8.58,Cassiopeia
DL Cassiopeiae,00h 29m 58.59s,+60° 12′ 43.1″,8.63,Cassiopeia
RX Cassiopeiae,03h 05m 45.75s,+67° 34′ 38.6″,8.64,Cassiopeia
BD+60 2522,23h 20m 44.52s,+61° 11′ 40.6″,8.7,Cassiopeia
T Cassiopeiae,00h 23m 14.27s,+55° 47′ 33.2″,8.87,Cassiopeia
PZ Cassiopeiae,23h 44m 03.28s,+61° 47′ 22.2″,8.9,Cassiopeia
BM Cassiopeiae,00h 54m 45.95s,+64° 05′ 06.2″,8.91,Cassiopeia
HD 219415,23h 14m 54.0s,+56° 43′ 49″,8.94,Cassiopeia
SX Cassiopeiae,00h 10m 42.08s,+54° 53′ 29.4″,8.87,Cassiopeia
WW Cassiopeiae,01h 33m 32.69s,+57° 45′ 05.4″,9.1,Cassiopeia
TZ Cassiopeiae,23h 52m 56.24s,+61° 00′ 08.4″,9.18,Cassiopeia
AZ Cassiopeiae,01h 42m 16.51s,+61° 25′ 16.3″,9.22,Cassiopeia
TX Cassiopeiae,02h 52m 16.19s,+62° 46′ 57.5″,9.33,Cassiopeia
XX Cassiopeiae,01h 29m 34.61s,+60° 58′ 04.7″,9.57,Cassiopeia
SZ Cassiopeiae,02h 27m 13.77s,+59° 27′ 38.2″,9.6,Cassiopeia
UU Cassiopeiae,23h 50m 39.52s,+60° 54′ 39.1″,9.74,Cassiopeia
PV Cassiopeiae,23h 10m 02.58s,+59° 12′ 06.1″,9.86,Cassiopeia
DN Cassiopeiae,02h 23m 11.53s,+60° 49′ 50.1″,9.93,Cassiopeia
XY Cassiopeiae,00h 49m 53.26s,+60° 07′ 38.6″,9.97,Cassiopeia
OX Cassiopeiae,01h 09m 00.10s,+61° 28′ 14.8″,10.06,Cassiopeia
QQ Cassiopeiae,23h 45m 36.75s,+59° 54′ 21.6″,10.2,Cassiopeia
V381 Cassiopeiae,00h 32m 51.61s,+49° 19′ 39.3″,10.22,Cassiopeia
QX Cassiopeiae,23h 58m 43.15s,+61° 09′ 39.5″,10.25,Cassiopeia
V547 Cassiopeiae,00h 32m 29.43s,+67° 14′ 08.4″,10.29,Cassiopeia
AQ Cassiopeiae,01h 19m 10.35s,+62° 23′ 48.4″,10.31,Cassiopeia
AB Cassiopeiae,02h 37m 31.51s,+71° 18′ 16.3″,10.32,Cassiopeia
V459 Cassiopeiae,01h 11m 29.92s,+61° 08′ 48.0″,10.36,Cassiopeia
BY Cassiopeiae,01h 47m 11.92s,+61° 25′ 21.0″,10.41,Cassiopeia
VX Cassiopeiae,00h 31m 30.68s,+61° 58′ 51.0″,10.5,Cassiopeia
WR 1,00h 43m 28.40s,+64° 45′ 35.4″,10.54,Cassiopeia
MWC 419,00h 43m 18.26s,+61° 54′ 40.1″,10.6,Cassiopeia
CE Cassiopeiae,23h 58m 09.31s,+61° 12′ 49.3″,10.63,Cassiopeia
WR 3,01h 38m 55.63s,+58° 09′ 22.7″,10.69,Cassiopeia
V364 Cassiopeiae,00h 52m 43.01s,+50° 28′ 10.2″,10.75,Cassiopeia
ZZ Cassiopeiae,00h 33m 30.38s,+62° 30′ 40.2″,10.79,Cassiopeia
CF Cassiopeiae,23h 58m 17.98s,+61° 13′ 15.8″,10.8,Cassiopeia
LS I +61 303,02h 40m 31.67s,+61° 13′ 45.6″,10.8,Cassiopeia
V523 Cassiopeiae,00h 40m 06.26s,+50° 14′ 15.5″,10.87,Cassiopeia
WASP-93,00h 37m 50.0s,+51° 17′ 20″,10.97,Cassiopeia
CW Cassiopeiae,00h 45m 52.69s,+63° 05′ 08.4″,11.08,Cassiopeia
2S 0114+650,01h 18m 02.70s,+65° 17′ 29.9″,11.09,Cassiopeia
IR Cassiopeiae,23h 06m 52.37s,+54° 04′ 52.2″,11.14,Cassiopeia
IT Cassiopeiae,23h 42m 01.40s,+51° 44′ 36.8″,11.23,Cassiopeia
CG Cassiopeiae,00h 00m 59.25s,+69° 57′ 32.2″,11.28,Cassiopeia
RX J0146.9+6121,01h 47m 00.21s,+61° 31′ 23.7″,11.34,Cassiopeia
IV Cassiopeiae,23h 49m 31.53s,+53° 08′ 04.8″,11.34,Cassiopeia
IX Cassiopeiae,00h 04m 50.82s,+50° 1405.5′,11.36,Cassiopeia
MWC 1080,23h 17m 25.58s,+60° 50′ 43.4″,11.58,Cassiopeia
UV Cassiopeiae,23h 02m 14.66s,+59° 36′ 36.7″,11.8,Cassiopeia
BS Cassiopeiae,01h 21m 38.57s,+59° 10′ 27.1″,11.84,Cassiopeia
Gliese 82,01h 59m 23.51s,+58° 31′ 16.1″,12.04,Cassiopeia
V627 Cassiopeiae,22h 57m 40.99s,+58° 09′ 12.5″,12.4,Cassiopeia
V592 Cassiopeiae,00h 20m 52.22s,+55° 42′ 16.3″,12.79,Cassiopeia
BH Cassiopeiae,00h 21m 21.38s,+59° 09′ 05.4″,13.0,Cassiopeia
IRAS 23304+6147,23h 32m 44.79s,+62° 03′ 49.1″,13.1,Cassiopeia
HAT-P-44,00h 56m 50.3s,+47° 00′ 52″,13.21,Cassiopeia
LkHα 198,00h 11m 25.83s,+58° 49′ 28.6″,13.79,Cassiopeia
